URL,Harga,Tipe Penawaran,Tipe Properti,Properti Sitaan,Terakhir Diupdate Pada:,Tersedia Sejak,Kamar Tidur,Kamar Mandi,"Luas Bangunan 
(m²)","Luas Tanah 
(m²)",SKU,Salin Tautan,Dibangun (Tahun),Lahan Parkir,Jumlah Lantai,Kondisi Harga,Kamar Pembantu,Kamar Mandi Pembantu,Berperabot Penuh,Daya Listrik,Hak Milik SHM,Deposit
https://www.lamudi.co.id/jual/jakarta/jakarta-timur/dijual-cepat-rumah-bagus-banget-di-legenda-wisata-174858465757/,"Rp 2,30M",Jual,"Rumah 
 -
Rumah",Tidak,21 Jam Yang Lalu,29/5/2025,3,4,300,210,HO683948D19D109ID,https://www.lamudi.co.id/s/683948daa8c72,,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-barat/grand-pinang-joglo-174851190196/,"Rp 1,98M",Jual,"Rumah 
 -
Rumah",Tidak,23 Jam Yang Lalu,29/5/2025,4,4,110,78,HO68382C9D80A58ID,https://www.lamudi.co.id/s/68382ca4ac581,2025,2,2,1975000000,1,1,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/dijual-rumah-mewah-3-5-lantai-di-tb-simatupang-17333051982/,"Rp 1,70M",Jual,"Rumah 
 -
Townhouse",Tidak,3 Jam Yang Lalu,,3,3,84,24,HO6750236E4F5C1ID,https://www.lamudi.co.id/s/675023769e9fd,,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-timur/jual-cepat-rumah-huni-harga-mendekati-njop-di-pulo-17486647491/,"Rp 1,25M",Jual,"Rumah 
 -
Rumah",Tidak,1 Jam Yang Lalu,,3,1,90,135,HO683A81AD33262ID,https://www.lamudi.co.id/s/683a81b382222,,1,,,,,Tidak,1300,,
https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/jual-rumah-baru-dipermata-hijau-kebon-jeruk-senaya-174790091879/,"Rp 4,50M",Jual,"Rumah 
 -
Townhouse",Tidak,16 Jam Yang Lalu,,4,3,170,105,HO6514D197B5E4FID,https://www.lamudi.co.id/s/652d9f261ea89,,2,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-utara/di-jual-rumah-2-lantai-siap-huni-di-sunter-agung-j-174660806281/,Rp 477Jt,Jual,"Rumah 
 -
Rumah",Tidak,1 Jam Yang Lalu,6/5/2025,2,2,43,43,HO681B1FBECCD86ID,https://www.lamudi.co.id/s/681b1fc4304bc,,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-pusat/rumah-murah-mewah-di-sumur-batu-kemayoran-jakarta-17465989809/,"Rp 990,85Jt",Jual,"Rumah 
 -
Rumah",Tidak,1 Jam Yang Lalu,6/5/2025,2,2,56,31,HO681AFC44643FAID,https://www.lamudi.co.id/s/681afc4a193b1,,1,,,,,Tidak,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-pusat/jual-rumah-murah-dibendungan-hilir-cocok-untuk-tin-174572067487/,"Rp 3,70M",Jual,"Rumah 
 -
Rumah",Tidak,16 Jam Yang Lalu,,3,2,150,107,HO680D956220596ID,https://www.lamudi.co.id/s/680d9565b788a,2010,2,2,Nego,1,1,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-timur/rumah-2-lantai-siap-huni-di-matraman-jakarta-timur-174736331068/,Rp 870Jt,Jual,"Rumah 
 -
Rumah",Tidak,1 Jam Yang Lalu,15/5/2025,2,2,58,30,HO6826A5EE8A44DID,https://www.lamudi.co.id/s/6826a5f491dc8,,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/dijual-murah-rumah-siap-huni-di-radio-dalam-jakart-174852895343/,"Rp 2,90M",Jual,"Rumah 
 -
Rumah",Tidak,3 Jam Yang Lalu,,5,4,200,146,HO68386F39ABCB2ID,https://www.lamudi.co.id/s/68386f3d2ef6d,,2,,,,,,,,
