URL,Harga,Tipe Penawaran,Tipe Properti,Properti Sitaan,Terakhir Diupdate Pada:,Kamar Tidur,Kamar Mandi,"Luas Bangunan 
(m²)","Luas Tanah 
(m²)",SKU,Salin Tautan,Tersedia Sejak,Lahan Parkir,Jumlah Lantai,Kamar Pembantu,Kamar Mandi Pembantu,Kondisi Harga,Dibangun (Tahun),Deposit,Berperabot Penuh,Hak Milik SHM,Daya Listrik
https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/tanah-dan-bangunan-kebagusan-jakarta-selatan-174548213194/,Rp 15M,Jual,"Rumah 
 -
Rumah",Tidak,16 Hari Yang Lalu,6,5,450,1425,HO6809F1931EA84ID,https://www.lamudi.co.id/s/6809f199dd0d7,,,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/pejaten-rumah-asri-turun-harga-dalam-kompleks-loka-174919604728/,"Rp 5,50M",Jual,"Rumah 
 -
Rumah",Tidak,2 Hari Yang Lalu,6,3,240,409,HO66CCFF811F845ID,https://www.lamudi.co.id/s/66d0211c8c7a6,,,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-timur/dijual-rumah-mewah-type-royal-jakarta-timur-174879760341/,"Rp 6,40M",Jual,"Rumah 
 -
Rumah",Tidak,8 Hari Yang Lalu,5,5,223,120,HO683C88A34D605ID,https://www.lamudi.co.id/s/683ccfe2de1db,,,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-barat/dijual-rumah-mewah-3-lantai-di-taman-palem-jakarta-174825354843/,"Rp 2,60M",Jual,"Rumah 
 -
Rumah",Tidak,15 Hari Yang Lalu,6,4,200,90,HO68343B6C66C78ID,https://www.lamudi.co.id/s/68343b717cd94,,,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-utara/dijual-rumah-2-lantai-lokasi-dekat-suntermall-174631104785/,"Rp 1,55M",Jual,"Rumah 
 -
Rumah",Tidak,8 Hari Yang Lalu,2,2,120,60,HO6816978777D40ID,https://www.lamudi.co.id/s/6816b4ea29d3e,28/4/2025,1,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-pusat/di-jual-rumah-cempaka-putih-dekat-dengan-rs-islam-174660463031/,"Rp 1,58M",Jual,"Rumah 
 -
Rumah",Tidak,2 Hari Yang Lalu,3,3,78,45,HO67BDDB61A15A7ID,https://www.lamudi.co.id/s/67bddb64c7842,,1,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-barat/dijual-cepat-murah-rumah-modern-posisi-hook-greenv-172794251518/,"Rp 8,50M",Jual,"Rumah 
 -
Rumah",Tidak,28 Hari Yang Lalu,5,5,650,320,HO66FE4F734E528ID,https://www.lamudi.co.id/s/66fe4f761002e,,,4,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-utara/golf-island-pik-brand-new-12x20-2-5-lantai-jual-ce-174856915811/,Rp 11M,Jual,"Rumah 
 -
Rumah",Tidak,12 Hari Yang Lalu,4,4,300,240,HO68390C467F8B8ID,https://www.lamudi.co.id/s/68390c4bc3f04,29/5/2025,4,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/rumah-mewah-lokasi-strategis-bebas-banjir-pejaten-174377482614/,"Rp 3,30M",Jual,"Rumah 
 -
Rumah",Tidak,16 Hari Yang Lalu,5,4,240,110,HO67EFE46A4BF7DID,https://www.lamudi.co.id/s/67efe46f63108,,,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-timur/minimalis-modern-2-lantai-di-kavling-marinir-duren-174756083520/,"Rp 6,50M",Jual,"Rumah 
 -
Rumah",Tidak,23 Hari Yang Lalu,5,6,625,511,HO6829A98389D70ID,https://www.lamudi.co.id/s/6829a98602d98,,4,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-timur/rumah-cantik-minimalis-modern-2-lantai-di-pisangan-174961079175/,"Rp 1,10M",Jual,"Rumah 
 -
Rumah",Tidak,3 Jam Yang Lalu,3,3,70,50,HO66A1BE1C41BDFID,https://www.lamudi.co.id/s/66a3351edf7e6,,1,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-timur/rumah-syariah-2-lantai-dekat-st-lrt-ciracas-shm-fr-174943852622/,"Rp 1,17M",Jual,"Rumah 
 -
Townhouse",Tidak,2 Hari Yang Lalu,3,2,80,65,HO66FF8F24030ABID,https://www.lamudi.co.id/s/675924ecd6127,,1,2,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-timur/rumah-dijual-di-pondok-kelapa-jakarta-timur-2-5-la-174892868180/,"Rp 3,80M",Jual,"Rumah 
 -
Rumah",Tidak,8 Hari Yang Lalu,6,4,270,120,HO683E88A96A580ID,https://www.lamudi.co.id/s/683e88ac3b308,,,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/kemang-timur-dijual-rumah-mewah-turun-harga-bebas-174919675825/,Rp 46M,Jual,"Rumah 
 -
Rumah",Tidak,2 Hari Yang Lalu,4,2,180,318,HO67CF1C418F4ACID,https://www.lamudi.co.id/s/67cf1c478cfb7,,10,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/dijual-rumah-mewah-di-pondok-indah-jakarta-selatan-174773792663/,Rp 35M,Jual,"Rumah 
 -
Rumah",Tidak,21 Hari Yang Lalu,6,5,825,786,HO682C5D46109B2ID,https://www.lamudi.co.id/s/682c5d49a6b2b,,,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-pusat/rumah-kemayoran-2-lantai-7x15-minimalis-jual-murah-174861901757/,"Rp 2,27M",Jual,"Rumah 
 -
Rumah",Tidak,9 Hari Yang Lalu,4,3,180,105,HO6839CF0953028ID,https://www.lamudi.co.id/s/6839cf0eddc57,29/5/2025,,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-asri-3-lt-lokasi-strategis-di-anggrek-neli-m-174963785816/,"Rp 5,30M",Jual,"Rumah 
 -
Rumah",Tidak,39 Menit Yang Lalu,4,4,330,180,HO679B7E14CDE16ID,https://www.lamudi.co.id/s/679b7f288c24b,28/1/2025,2,3,1,1,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-timur/rumah-baru-elegan-strategis-di-cluster-vastu-jgc-c-174725505144/,"Rp 2,90M",Jual,"Rumah 
 -
Rumah",Tidak,16 Hari Yang Lalu,5,4,140,105,HO6694CE940274EID,https://www.lamudi.co.id/s/66962d71b0a35,,,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-utara/rumah-agung-utara-3-lantai-jual-cepat-siap-huni-ju-174870437465/,"Rp 2,10M",Jual,"Rumah 
 -
Rumah",Tidak,9 Hari Yang Lalu,4,3,180,89,HO683B1C7621CAEID,https://www.lamudi.co.id/s/683b1c7b4572d,30/5/2025,1,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/dijual-lahan-dan-bangunan-kost2an-174240530449/,"Rp 78,75M",Jual,"Rumah 
 -
Rumah Kosan",Tidak,6 Hari Yang Lalu,10,10,400,1750,HO67DAFEB8D1FC4ID,https://www.lamudi.co.id/s/67dafebc679c7,,20,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/harga-njop-brand-new-house-private-pool-di-pejaten-174869953288/,Rp 13M,Jual,"Rumah 
 -
Rumah",Tidak,9 Hari Yang Lalu,4,4,366,400,HO6822EF1086642ID,https://www.lamudi.co.id/s/6822ef14b23f1,,3,2,2,1,Nego,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/termurah-dijual-rumah-via-lelang-di-petukangan-pes-174898423326/,"Rp 3,90M",Jual,"Rumah 
 -
Rumah",Ya,6 Hari Yang Lalu,4,4,676,834,HO683F61A92EA29ID,https://www.lamudi.co.id/s/683f61ad33ae8,,4,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/dijual-rumah-kemang-dalam-akses-mudah-anti-banjir-174789933129/,Rp 19M,Jual,"Rumah 
 -
Rumah",Tidak,19 Hari Yang Lalu,4,3,288,598,HO682ED3C3106D3ID,https://www.lamudi.co.id/s/682ed3c74caad,,4,1,0,1,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-utara/rumah-pinggir-jalan-cocok-untuk-bisnis-di-jl-taria-174733621963/,"Rp 3,30M",Jual,"Rumah 
 -
Rumah",Tidak,12 Hari Yang Lalu,5,2,200,120,HO68263C1B1FA81ID,https://www.lamudi.co.id/s/68263c1ea0dc6,,,,,,,0,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-timur/rumah-tinggal-2-lantai-dekat-mall-di-kayu-putih-s8-174900635770/,"Rp 2,60M",Jual,"Rumah 
 -
Rumah",Tidak,6 Hari Yang Lalu,3,2,150,90,HO683FB8156B979ID,https://www.lamudi.co.id/s/683fb81b103d7,,1,2,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/rumah-siap-huni-dalam-komplek-elite-tebet-akses-ja-174840659241/,"Rp 9,50M",Jual,"Rumah 
 -
Rumah",Tidak,14 Hari Yang Lalu,4,3,540,390,HO683691400BD0EID,https://www.lamudi.co.id/s/68369143d9db7,27/5/2025,2,2,1,1,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/dijual-rumah-dengan-lokasi-strategis-di-pejaten-ba-174436224090/,"Rp 5,80M",Jual,"Rumah 
 -
Rumah",Tidak,27 Hari Yang Lalu,4,3,200,248,HO67F8DB006EAC2ID,https://www.lamudi.co.id/s/67f8db052111f,10/4/2025,,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-timur/dijual-cepat-rumah-kota-wisata-2lantai-murah-174901152734/,"Rp 1,80M",Jual,"Rumah 
 -
Rumah",Tidak,6 Hari Yang Lalu,4,3,110,120,HO683FCC471865DID,https://www.lamudi.co.id/s/683fcc49f28de,3/6/2025,,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-timur/jual-cepat-rumah-cantik-tanpa-perantara-bukit-golf-174936411911/,Rp 685Jt,Jual,"Rumah 
 -
Rumah",Tidak,2 Hari Yang Lalu,2,2,70,93,HO680AF33CE5DABID,https://www.lamudi.co.id/s/680af341c1145,,1,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-utara/rumah-mewah-royal-gading-mansion-200m-17480713574/,"Rp 7,50M",Jual,"Rumah 
 -
Rumah",Tidak,16 Hari Yang Lalu,2,2,350,200,HO683173BD50EDFID,https://www.lamudi.co.id/s/683173c014731,,2,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-timur/rumah-siap-huni-baru-dp-fleksibel-cash-kpr-2-kt-2k-174735927053/,Rp 778Jt,Jual,"Rumah 
 -
Rumah",Tidak,19 Hari Yang Lalu,2,2,58,57,HO68269626E1332ID,https://www.lamudi.co.id/s/68269629e2806,,1,,,,,,,,,
https://www.lamudi.co.id/jual/jakarta/jakarta-utara/rumah-mewah-harga-terjangkau-lokasi-dekat-mall-art-174763648441/,Rp 851Jt,Jual,"Rumah 
 -
Townhouse",Tidak,23 Hari Yang Lalu,2,2,53,32,HO682AD10490E9BID,https://www.lamudi.co.id/s/682ad106cbe0d,12/5/2025,1,,,,,,,,,
